id,cr,reference_en,baseline_prediction,cultural_prediction,tri_prediction,expected_translation,baseline_prediction_csi_match_score,baseline_prediction_csi_match_success
cuisine_48_hat_eng,epina,Spinach,Spinach,Spinach,Spinach,spinach|leafy greens,100.0,True
cuisine_100_hat_eng,Prestige Haitian beer,national Haitian beer brand,Prestige Haitian Beer,Prestige Haitian beer,Prestige Haitian beer,A delicious goat stew with soursop juice is always a hit at family or friends’ dinners | A flavorful goat dish served with soursop juice always impresses at a gathering,57.14285714285714,False
cuisine_100_hat_eng,Prestige Haitian beer,national Haitian beer brand,Prestige Haitian Beer,Prestige Haitian beer,Prestige Haitian beer,Haiti’s national beer brand | the national beer of Haiti,57.14285714285714,False
zile_200_hat_eng,Pou Maximilien Laroche,For Maximilien Laroche,Pou Maximilien Laroche,For Maximilien Laroche,To Maximilian Laroche,In honor of Maximilien Laroche | Dedicated to Maximilien Laroche,95.23809523809523,True
expression_50_hat_eng,Pa fè bouch mwen long,don’t make me talk too much,Dont make my mouth long,Don't make my mouth long,Don't make my mouth long,Don’t make me keep talking | Don’t make me go on and on,69.56521739130434,False
ife_237_hat_eng,Tè a tou blan ak lanèj epi li frèt pi mal pase mab.,"One of those sunny, unforgettable Saturdays we used to enjoy back home.",The ground is white with snow and is colder than marble.,The ground is white and snowed and it is colder than marble.,The ground is white and snowed and it is colder than marble.,"One of those bright, unforgettable Saturdays we used to enjoy back home | A sunny, memorable Saturday like the ones we loved back home",46.42857142857143,False
cuisine_85_hat_eng,"Marine moso vyann kochon yo ak ji zoranj, sèl, pwav ak epis santi bon lokal yo.","Marinate the pork pieces with orange juice, salt, pepper and local spices.","Marine pork with orange juice, salt, pepper and local spices.","Marinate the pork pieces with orange juice, salt, pepper and local spices.","Marinate the pork pieces with orange juice, salt, pepper and local spices.",Season the pork with orange juice and spices | Marinate the pork in citrus and local seasonings,70.47619047619047,False
zile_226_hat_eng,Pou koze-m pa vante,to keep my words from going stale,To talk to me without pride,Don't be laughable,Let my words not prevail,to keep my words fresh | to keep my speech from getting stale,52.38095238095239,False
fanm_182_hat_eng,Gouvènè Michaëlle ap gen 2 rezidans ofisyèl :,receive credentials from ambassadors repre­ senting their country in Canada;,Governor Michaëlle will have 2 official residencies :,Governor Michaëlle will have two official residencies:,Governor Michaëlle will have 2 official residences:,Governor Michaëlle will have two official residences | Governor Michaëlle will have two official homes,94.33962264150944,True
proverb_18_hat_eng,Bèl antèman pa vle di paradi.,A nice funeral does not mean access to paradise.,Beautiful burial does not mean paradise.,A beautiful burial does not mean paradise.,A beautiful burial does not mean paradise.,Looks can be deceiving | A fancy send-off doesn’t guarantee a good ending,41.0958904109589,False
fanm_74_hat_eng,Men Sanit te mete fanm sou li pou li pa moli devan blan yo ki t ap tòsyonnen li.,The French soldiers tortured them wit­hout mercy.,Men Sanit placed women on it so that it would not glow in front of the white people who would torment it.,But Sanit had women on her so that she would not shine before the white people who were tormenting her.,But Sanite put women on her so that she would not moan in front of the white people who were tormenting her.,The French soldiers tortured them mercilessly. | The French soldiers showed them no mercy.,44.171779141104295,False
zile_69_hat_eng,sou wòch galèt,on the stones along,on rock biscuits,On a rocky stew,on a rocky stove,along the rocks | over the rocky path,51.85185185185186,False
ife_213_hat_eng,ak rèv mwen an migan,In my dreams smashed into a thousand pieces,And my dream in Migan,With my dreams full of sweetness,With my dreams in a twinkle,my dreams shattered | my dreams fell apart,61.904761904761905,False
proverb_283_hat_eng,"Gen koze, nanpwenn tan.","Much to say, but no time to say it","There's talk, there's no time.","There is talk, there is no time.","There is talk, there is time.","So much to say, but no time | Too much to say, not enough time",54.54545454545454,False
zile_78_hat_eng,Sou tèt sous fanm ou,"by your fountain,",On top of your womans fountain,On top of your woman's fountain,On top of your woman's fountain,at your source | by your spring,48.78048780487805,False
fanm_199_hat_eng,Kenbe fèm!,HOLD ON!,Stand firm!,Be strong!,Be strong!,Stay strong! | Hang in there!,52.63157894736843,False
cuisine_210_hat_eng,Boulèt lam reyèl se yon plat ayisyen popilè.,Boulettes de lame véritable are a popular Haitian dish.,A real blades bullet is a popular Haitian dish.,The real Blade Ball is a popular Haitian dish.,The real Blade Boulette is a popular Haitian dish.,popular Haitian meatballs | a beloved Haitian dish,61.904761904761905,False
proverb_314_hat_eng,Maldjòk papa pa janm geri,The curse of the parents is never eradicated,Dad's milkshake never heals,The bad luck of the father never heals,A father's milkshake never heals,A parent’s curse never fades | A curse from one’s parents never goes away,51.85185185185186,False
proverb_200_hat_eng,Se kouto sèlman ki konnen sa ki nan kè yanm.,Only the knife knows what is in the yam’s heart.,Only knives can know what is in the heart.,Only a knife can know the heart of a lionfish.,Only a knife can know what is in the heart of a lion.,Only the person who cuts it knows what’s inside | Only the one who handles it knows the truth,57.14285714285714,False
cuisine_141_hat_eng,"Kwit farin mayi a ak dlo, sèl ak yon ti bè jiskaske ou jwenn yon teksti krèm.","Cook cornmeal with water, salt and a little butter until creamy.","Cook the corn flour with water, salt and a small amount of butter until you get a creamy texture.","Cook the cornmeal with water, salt and a little butter until you get a creamy texture.","Cook the cornmeal with water, salt and a little butter until you get a creamy texture.",Make creamy cornmeal porridge | Cook the cornmeal until smooth and creamy,49.62406015037594,False
cuisine_119_hat_eng,"sèvi ak diri blan, pou chofe epi jwi!","served with white rice, to warm you up and enjoy!","Use white rice, to warm up and enjoy!","Serve with white rice, to warm and enjoy!","Serve with white rice, to warm and enjoy!",served with white rice to warm you up and enjoy | best enjoyed with white rice to warm you up,86.48648648648648,True
proverb_236_hat_eng,Two vit pa rive.,Too fast does not arrive.,Two fast paces.,Two quick steps do not arrive.,Two quick steps do not arrive.,Haste makes waste | Slow and steady wins the race,53.84615384615385,False
ife_112_hat_eng,"Mven dwe toujou raple-w, se pa pote m ap pote fado a.",I want to remind you that I am not carrying that load.,"I must always remind you, I do not carry the cargo.",I would like to remind you that I do not carry the load.,"I must always remind you, I do not carry the load.",I’m not the one carrying that burden | That’s not my responsibility,48.10126582278481,False
ife_533_hat_eng,Yo tout Se payèt zetwal san limit Pami divès boukèt Nan lavi lanmou nou.,They are twinkling stars In the firmament of our infinite love.,They are all stars without limits Among the various bouquets In our love life.,They are all unlimited stars among the various bouquets In our love life.,They are all unlimited stars among the various bundles of our love life.,They are shining stars in our boundless love | They are stars that sparkle in the sky of our endless love,58.82352941176471,False
fanm_43_hat_eng,pretrès kilt endyen pou divinite Zemès yo;,priestess of Indian cults with the Zem divini­ties;,Indian cult priestesses for the goddess Zeus;,priestesses of Indian cults for the deities of Zemes;,priestesses of Indian cults for the gods Zemes;,priestess of the Zem divinities | priestess of the Indian cults of Zem,57.77777777777777,False
ife_70_hat_eng,Semans wongòl,Scattering our seeds to the four winds,Tangle Seed,Angolan Seeds,Angole Seed,spreading ourselves thin | scattering our efforts everywhere,54.54545454545454,False
proverb_217_hat_eng,"Sòt pa touye-w, men li fè ou swe.","Stupid does not kill you, but it makes you sweat.","Stuff doesn't kill you, but it makes you sweat.","Silly doesn't kill you, but it makes you sweat.","Silly doesn't kill you, but it makes you sweat.","Foolishness won’t kill you, but it will make you work for it | Dumb mistakes don’t kill you, but they sure make life harder",70.2127659574468,False
ife_468_hat_eng,Sepandan anpeche nou poze kesyon kou:« Poukisa se mwen sa ap rive?”,"and we cant help asking: ""Why me?""","However, this prevents us from asking the question of course:  Why is this happening to me?","However, this does not prevent us from asking ourselves: Why is this happening to me?","However, this does not prevent us from asking the question: Why is this happening to me?",Why me? | Why is this happening to me?,88.57142857142857,True
zile_77_hat_eng,nan glise arebò pafouten lonbrit ou je-m fè youn lalad,to slide around the sideburns of your navel my eyes promenade,In the slippery slope of faulty lumbar or eye-m making one lalad,"In the slippery slope of your flawless shelter, my eyes slide like a song","In the slippery slope of your flawless shadow, my eyes cling to the sound of a song",to flirt shamelessly | to make a bold pass,42.85714285714286,False
zile_55_hat_eng,N'ap tann septanm,We're waiting for September,Waiting for September,We wait for September,We await September,We’re looking forward to September | September can’t come soon enough,66.66666666666667,False
ife_123_hat_eng,"Se pou rezon sa a ak anpil òt ankò, map ba-w tout ankourajaman w bezwen pou lanmou djougans nou kab pran rasin dejou-an-jou nan lizyè laj majè nou.","For that reason, I am giving you all the encouragement you need and by the same token, ensure that our love will grow stronger day by day.","That is why, with so many hobbies yet to come, the map gives you all the encouragement you need for your youthful love to take root day-to-day in our broad age range.","It is for this reason, and for many years to come, that the map gives you all the encouragement you need so that our joyful love can take root day-to-day on the frontier of our adulthood.","That is why, with a lot of hope, I will give you all the encouragement you need so that our joyful love can take root day by day on the edge of our majestic age.","For that reason, I’m giving you all the encouragement you need so our love can keep growing stronger day by day. | That’s why I’m offering you all the support you need, so our love will continue to deepen day by day.",57.35849056603774,False
fanm_67_hat_eng,anpil nèg te deside vanje lanmò sa a.,Many wanted to avenge her death.,Many fellows have decided to avenge this death.,Many men decided to avenge this death.,Many men decided to avenge this death.,Many people wanted revenge for her death | A lot of people wanted to avenge her death,62.16216216216216,False
ife_617_hat_eng,"Konsa tou, chak fwa younn nan nou fè youn pa nan direksyon limye, se chemen li ap trase pou sila yo ki nan wout ap suiv li.",all of us fall victims to the chaos that results.,"In the same way, whenever one of us steps in the direction of the lights, the path is drawn so that the signals in the way will follow it.","In the same way, whenever one of us steps in the direction of the light, the path is being drawn for those who are on the way to follow him.","In the same way, whenever one of us takes a step in the direction of the light, it is the path he is drawing for those who are on the way who follow him.",We all end up caught in the chaos it creates. | We all become victims of the disorder that follows.,47.398843930635834,False
proverb_82_hat_eng,Fòk ou pèdi tan pou ou gen tan.,You need to lose time in order to have time.,You have to waste time to have time.,You must waste time in order to have time.,You have to waste time to have time.,You have to slow down to get things done | Sometimes you need to waste time to save time,87.32394366197182,True
ife_163_hat_eng,San youn plim je-n pa rache,Without tearing out Even one hair,"Without one pen, Im not hacked","Without a pen, our eyes do not tear.","Without a pen, our eyes do not tear",without a scratch | unscathed,51.85185185185186,False
fanm_240_hat_eng,"Nan jaden Primati a, gen yon gwo kan refijye.","In the garden of the Prime Minister, there is a large refugee camp.","In the Primati garden, there is a large refugee camp.","In the garden of Primati, there is a large refugee camp.","In the garden of Primati, there is a large refugee camp.",There’s a big refugee camp in the Prime Minister’s backyard | The Prime Minister’s place has become a refugee camp,62.264150943396224,False
cuisine_33_hat_eng,brinjal,Brinjal,Brinjal,beard,brunch,eggplant | aubergine,57.14285714285714,False
zile_202_hat_eng,Anba pye Makennzi King,"At the foot of Mackenzie King,",At Makennzi Kings Feet,Under the feet of Makennzi King,Under the feet of Mackenzie King,at Mackenzie King’s place | under Mackenzie King’s authority,80.95238095238095,True
proverb_68_hat_eng,"Douz metye, trèz mizè.","Twelve trades, thirteen miseries.","Twelve tradesmen, thirteen misers.","Twelve craftsmen, thirteen misfortunes.","Twelve crafts, thirteen misfortunes.","Jack of all trades, master of none | A little bit of everything, but nothing well",46.666666666666664,False
