id	label	cr	en
17206	medium	Ge pa konn ale lòt jan ankò	There is no other way to go anymore.
17207	bad	pou m gen gen gen en granit pi pitit	so that I have a granite and a child
17208	bad	pou m gen menm jan antou granit nan pi pitit yo kond men m bouto	so that I have the same way among the granite in the smallest ones they drive me to the end
17209	bad	Koum nèvi sèm anpye m, ou ye, an kounm gen konsa tankou lèd dat solè konsa, ou konn gon bann ti bay li vizit.	How my niece, you are, and now there are such ugly dates like that, you know, there are a bunch of little things to visit it.
17210	good	Yo konn kalè	They know how to be sly.
17211	bad	la wè lè yon lèdyon	there see when a lion
17212	bad	nou banj tralè	we gave trailer
17213	good	Takou lè yon moun n ap bay timoun tete	Like when someone is breastfeeding a child
17214	good	takou l ta ka pran move nouvèt	as if he could take bad news
17215	bad	ap ilken dwè onjou yon maladik ka pran nouvèt	at some point one day a sick person can take news
17216	bad	ki yon rele sa yon rele sa.	what a call that a call that
17217	bad	Sèvi, li lagèm lòt nan anpè.	Serve, he left me the other one in peace.
17218	medium	Wa konn adè l la fyèv volitou, ouye, nou mwen men.	You know, the fever is still there, oh yes, we ourselves too.
17219	bad	Moun nan konnen an, OK, pile.	The person knows it, OK, pile.
17220	bad	Moun nan konn bagay kou sa a vant li rete kou l ap mache li men, nou vat fè kòjou.	The person knows things like this; his stomach stays as if he were walking, but we have to do it today.
17221	bad	Lè li sounèf man l al fè, moun fè piti.	When he was nine, his mother gave birth, people had a baby.
17222	bad	Ta di fèt tit la	It would be said that the title was made.
17223	bad	ou pa kanm pa gen lòt jan w ka a di sa ankò	you can’t say it any other way anymore
17224	bad	moun yo de li vou l	people called him crazy
17225	good	kapab byen tèl bagay yo di a.	it may well be what they say.
17226	bad	Anpil ante akouche yo, gen defa moun nan, ay, pa kontan n datmi an pi, fè yon movèy kouche.	Many of them gave birth, there are flaws in the person, ah, not happy at all, the friend, make a bad move.
17227	medium	Men konn gen te frè	But there used to be land, brother
17228	bad	li patan nèf mwen a men	he was not nine, but mine
17229	bad	ti moun avans a	the child before
17230	good	men ti moun na viv	but the child is alive
17231	good	Kòk nè lèvwa ti moun nan fèt menm si l te rive zògè li, li fèt la.	Even if the child was born prematurely, he was born there.
17232	bad	Yo gade ant kadab li yon vè tou moun wi.	They looked among his corpses for a glass too, everyone yes.
17233	bad	ki de moun ki konjonasyen tou sa l te pèd nans?	which two people were the spouses of all that he lost in the mind?
17234	bad	wi, men gen de fwa se li men ki pa vle kenbe ti moun, men je te l.	Yes, but sometimes it’s him who doesn’t want to keep the child, but I saw him.
17235	good	Y ap te kisa pitit lan?	What would they have been doing to the child?
17236	good	Siyèm pawòl yo renmen	The sixth word they love
17237	good	yo konn nou mout kote pwont yo	they know where the bridges are
17238	medium	y ap konseride t ga yon sa a	they are considering this little thing
17239	bad	y ap di tè	they are saying land
17240	good	y ap fè	they are doing
17241	bad	kòman jond men dè yon fit pa ka fè	how can a fit not be done by hand
17242	bad	ki pa y ap fè pitit li lal	who are not going to have their child go there
17243	bad	li gen dwan bagen an pri men	he has to have a price but
17244	bad	pa y ap fè pitit li?	aren’t they going to have their child?
17245	bad	pou vandiyan an, ou pa konn fè pitit, yo se yon sè, mounmi l, yon mounmi lèt.	for the vendor, you don’t know how to have children, they are a sister, her mother, her milk mother.
17246	medium	Pan, e yon nèg Koulal, nanm si l ale?	Pan, and a Koulal guy, if he goes, what then?
17247	medium	tankou la, e OK, moun yon moun ki?	like that, and OK, a person, someone who?
17248	bad	Lakadyo, tankou gason, si l ale takou l ta avle alman simen, li pa nou, moun ta rele lalokay, lalokay, okay, moun ta pa tèm.	The radio, like a man, if he goes as if he wanted to go sow German, he is not ours, people would call him crazy, crazy, okay, people would not understand.
17249	bad	Gòs mwen an pa tèm E sa konsa yo kònd bi sa	My left one is not a term, and that’s how they condition this.
17250	bad	pralè li pa ka sèfi an yon an	He will not be able to serve in a year.
17251	medium	men yo pa kònd di li pa gen ban nou te.	but they didn’t say there was no land to give us.
17252	bad	lòb Alè wotè di lè vant moun nan gou a	when the person’s stomach is hungry at the height of the hour
17253	bad	Gide fò elè moun nan tankou lè ou lè a nan pale l akouche, l akouche.	Guide the person strongly, like when you are speaking to them in labor, they are in labor.
17254	bad	Chak mò a, sa f li bay chak mò a yo, pi anrile.	Each dead person, what it makes it give each dead person, and more.
17255	bad	Le Bèl lòt men anka, na pye l.	The beautiful one, on the other hand, is at his feet.
17256	bad	Le Bèl lòt jan.	The beautiful other way.
17257	bad	Mwen, nè dregle, men, pa kanm di kwa sans tonme jouye.	I, nervous, but, don’t know what without falling joy.
17258	bad	Wè tankou lage moun nan konn fin ansen	It seems like the person has already been released.
17259	medium	anpil li nou mwen rèk li toujou	I read a lot, I still read a lot.
17260	bad	li vin nou rèk li	he came to us, he was already late
17261	bad	lè sa pi jan an	when it is the best way
17262	bad	Sa kèm lòt kèm yon kònd li chanvè, elefi moun nan ansib anpil l ap tò, konnyal rivè souldèyè voulè koujou.	My heart, another heart, when it changes, the person’s elephant is very anxious, now the sun has come back, the thief is still running.
17263	bad	Yo wè l ap tò dekò l t ap gen la, m dou lè, ou li gen tou lè yon wa l, mwen dwen.	They saw him, he was decorating it, he was going to have there, I’m soft, you read it, he has all the time like a king, I need.
17264	bad	Ti lòt jan an konn di sa ankò, anna a tri anje.	The little other way also says it again, Anna has three things.
17265	bad	Konn gen de fwa, moun moun moun yon ukwo bagay t ap koswa nan tou l konsa, moute konsa fè yon rele sa.	Sometimes, people, people, people, a thing like that would be happening in all of them like that, going up like that and making a call like that.
17266	bad	Gen gen kòk pwouse, m, kòk pwouse, menm Bala, mwen te pralè moun n ap tè, lò ap tè a tè a vay konsan an.	There are some rough roosters, me, rough roosters, even Bala, I was going to tell people we are on the ground, when the ground is on the ground, it goes to the council.
17267	bad	OUkebe, sou anba nou zouty w ap travay la, konmann la, kizan l leve nanm nan pwod.	Okay, underneath us is the tool you are working on, the command there, which raises the soul in production.
17268	bad	Sòl prase saj fòr la, li gafwon an Liwif li w, menm ba la, orye.	The wise floor is strong, it gafwon in Liwif it, even there, orye.
17269	bad	Si m dagon kou bagan, re konsa lajan sa te blese, bagan rele lèv jan tò.	If I dagon like bagan, then this money was hurt, bagan called the lips like that.
17270	good	Lè ou l blese	When you are injured
17271	good	lò l blese	when he is injured
17272	bad	koun sa bay sa ki jan rele sa a kote li ye a	now give that what is this called where it is
17273	bad	ou nan Pyè	you are in Peter
17274	bad	lè w ap di vin pansi	when you are saying come think
17275	bad	vin pansi ki sa?	come down what?
17276	bad	vin pansi blese ya.	come down to the injured one.
17277	bad	Lè yo konn ap peze Malimin, asak kòm sòti Ladass.	When they used to press Malimin, asak as coming out of Ladass.
17278	bad	sa k blanch li tan sòti ale menm gizell	what is white it’s time to go out even gizell
17279	good	e kout tou	and short too
17280	bad	ki sotan sotan te m	I was just about to leave.
17281	bad	men E lè ou kounm tase ou	but And when you kind of tighten yourself up
17282	bad	tankou bon fil fè konsa l kapab pwonn	like good wire so it can rust
17283	good	sa li fanm	what kind of woman is she
17284	bad	gra fanm men.	fat woman, though
17285	bad	Ba di lòb jan?	What did you say?
17286	bad	Blese m, menm bay, menm bay.	Hurt me, even give, even give.
17287	bad	Mwen te ba a moun konn gen nan pye ou, pye ou yon jan manje konsa, sotulè yon metis ouzye bay sa a.	I gave the people who know what’s in your feet, your feet kind of eaten like that, especially a mixed-race person gave that to you.
17288	bad	nou fò w gen kral	we must have a crown
17289	good	nou fò w gen kò	we force you to have a body
17290	bad	mwen nou fò w di w gen chwo final an fanm dèt yo.	I know you have to say you have a final choice among the women.
17291	bad	Yon seyè ti bay ki konn leve	A little bay that rises often
17292	medium	li gen dwe aleve anba bò yà ou la	he must have gotten up from under your side there
17293	bad	li gen dwe aleve nan pòt kote kouwò ou tan	he must have gotten up at the door where you were waiting
17294	bad	li konn pig pou toujou	he is always known to be worse
17295	medium	elèl pig pou konsa	she is more or less like that
17296	bad	elèl mwen pou petè	my student for maybe
17297	bad	kijan kou fè ble.	how did the bruise turn blue.
17298	bad	Anba brawou yon tonn leve gen lefwa, lefwa ka aleven nou tou, yon kanleven nan bò moun dèyò ou tou?	Under the arm of a raised barrel there is liver, the liver can also lift us, can a lift be on the side of people outside too?
17299	bad	klo, lefwa rele lòt jan ankan, bouton, se menm bayaj, nou, gwo bouton, lifwa rele la ap se tou, se tou yon yon sotiy.	clothes, sometimes called another way again, button, it’s the same thing, we, big button, sometimes called there too, it’s also a kind of exit.
17300	bad	Mwen defò w ton nou te konsa an bàn ba leve sou ou pa ka sipòte, ki anlè tout kòw ou.	I’m sorry, but the Haitian Creole sentence appears corrupted or unclear, so I can’t translate it reliably.
17301	bad	Bouton yo yè	The buttons yesterday
17302	good	Bouton tout te tou	The buttons were all there.
17303	medium	se konswèk tonk gratè yo	it’s like the scratchers are
17304	good	ou gratè yo	you scratched them
17305	good	te toujou mwen an	it was always mine
17306	good	men yo pa k menye te yo gratè l	but they were not the ones who scratched him
17307	good	nou gratè l	we scratched him
17308	bad	en ou wi.	yes, you.
17309	bad	E de gen defò kounm rete la sa w tou nou a, kounm s ak tou nou a ki yon rele l?	And if there are defects now remaining there, what do we call them?
17310	bad	Li kont tou nou a abès swabèl, ou konn takou laradèv enfanp la tou nou a, konsa konn di entè l gen kisa?	He counts all of us as weak and submissive, you know, like the children’s harbor too, all of us, so he says there is something inside?
17311	bad	Men, kòm ti m tadey, mwen de fèy rache ou ka rache l men men, men madan.	But, as I was saying, I’m torn apart; you can tear it apart, but, but, madam.
17312	good	ou konn abgade	you know how to watch
17313	bad	ou wè l pi	you see him more
17314	good	e tou blan	and also white
17315	bad	e wè l toun wè	and see him turn around
17316	good	wè l an ti chanm.	see him in the little room.
17317	good	tankou ta rache	as if it were torn off
17318	bad	bò ta rache dan e tankou ta rete on si ta tankou doktè a ta arè	It would be like pulling out a tooth, as if it would stay on if the doctor stopped.
17319	medium	M pa antòch.	I’m not in the mood.
17320	bad	Gide fè lè ou konn fabri	Guide to do when you know how to make
17321	bad	anpalande fabri y ap a ve	in the meantime, they will have to go
17322	bad	gide fè y ap wò li pa moute	guide them to do it, he won’t go up
17323	bad	moun konn gaden nan rye wò l touman an.	people know how to look in the rye where the torment is.
17324	bad	Daprò zòtè, ou ou ou wè l tounou, al san tout batè, li vin afe, li pòt pan an.	According to you, you you you see him turn around, go without all the beating, he becomes sick, he can’t think.
17325	bad	li san wè tounou an, m davanm.	He didn’t see the tunnel, I’m ahead.
17326	bad	Yo gen dè arite la yo vin ba on pa wò l kan pou w rete ou dimen pou l	They have some things there they came to give you so you can stay there tomorrow for him
17327	bad	Mwen do maladi	I have a stomach ache
17328	medium	mwen moun lontan lontan konn genyen	I have known people for a long time.
17329	bad	konn fè figi yo	know how to make their faces
17330	bad	mwen fa yon bann bou l nan figi yo	I made a lot of bubbles in their faces
17331	bad	gran moun lontan konn genyen.	Older people used to have.
17332	good	pwole l pas	he is not worth it
17333	bad	mwen la di a Magayou lè li perizi	I am here to tell Magayou when he is in danger.
17334	bad	fòsperiz Konfòz vezi vayou te fè cheve li moun ye	Fòsperiz Konfòz vezi vayou made her hair look like a person.
17335	good	moun fè m de tare nan fou	people put me in the oven twice
17336	bad	anpil moun moun ou sa	many people your people can
17337	bad	nou moun pòt moun	we are people, door people
17338	good	moun moun moun ou sè nan fou	people people people you are crazy
17339	bad	Y ap k ap machi takou wa rad zalz ou li bondye en tèse yon ki sa l.	They will be walking like a king in rags, and God will test him with something.
17340	bad	M va rabbon.	I will be rabbon.
17341	bad	M va rabbon men, takou poutèt moun nan e kapab gen rad tout tayye sa l l ap machi.	I will rob him, but because of the person and he can have clothes of all sizes as he walks.
17342	bad	En by an en tèse yon malpwa.	One by one, they were testing a bad weight.
17343	good	E lè yon moun anp mache	And when someone is walking around
17344	bad	tankou yon gen dò pase koto osil ta fanye fè konmi tan nan bo a ap travwa yon rad li palben	like a person who has passed by the shore, he would spend time working on a dress he was talking about
17345	bad	nou gen dò pa ka ou di wou	we have a lot that you can’t say to you
17346	bad	Sa an di fò, menm ba la, ou nan pasyon kote sou Anbe, mouri nan zanatis.	That means strongly, even down there, you are in passion where on Anbe, dying in friendship.
17347	good	An bèti santi	A beast smells
17348	medium	idò konn ap pou an bagay	so it can be for something
17349	bad	tankou on dlo an ou gadan m ap dò an	like a drop of water in your eye, I’m sleeping in it
17350	good	sa l tèt	what’s up
17351	bad	Sa wè l tèt	That’s what he saw.
17352	bad	donk gen timoun lè l mal lavi, toutan m mal lavi, a je avinon jan konsa ou di an.	So there are children when life is bad, all the time my life is bad, in my eyes, like that you say.
17353	bad	Men pou pou	Here are the breasts.
17354	bad	sò w retire w pou mwen w rele Kras	If you leave me, your name is Kras
17355	good	tankou t ap fou yon mèy pen nan M tabili	like he was going crazy over a loaf of bread in M tabili
17356	bad	Bò tankou lò w gen on, mwen malat gen an ti bay, yo prayou tik bò dèyò yo piki.	Like when you have one, I’m sick, I have a little gift, they pray for you a little outside, they prick you.
17357	bad	E sa yo ka a pran pou pase, takou sou grap se, takou gon ap se yo pran an y ap tandi la yo praske.	And what they can take to pass, like on a bunch of, like they take them and they are waiting there almost.
17358	bad	Lò m alavè, moun wal lakali a pou ba ou pi ki bay sa wè yo, pi yon rele?	When I go there, the people at the house give you the best that they have, what do they call it?
17359	good	Mwen men de moun	I myself am two people
17360	medium	li pa genyen se fè yon bay sa a	he doesn’t have it, it’s to make a gift of this
17361	medium	li menm menm kaba w opou bwè tou	he himself is also done with drinking
17362	bad	Lè ban kòz tankou laj si moun nan sa moun nan kase ba ou yo ki yon releye fèy, li sen fèy.	When the cause is like age, if the person breaks the things they gave you, which is a relay leaf, it’s just a leaf.
17363	bad	Kou di Metyen fèy	As soon as Metyen said it, it happened.
17364	bad	pi sak Metyen fèy la Mwen de ka fèy labò la Mwen sen fèy li Lò ap bwè sa l ap bò wa	the more Metyen puts the leaf there, the more I can put the leaf there, I am the leaf, when he drinks it, he will be by the king
17365	bad	vizon w deva ap bwè la.	your vision should be drinking there.
17366	good	mwen t ap pale de moun anansent pavre	I was talking about poor pregnant women
17367	bad	lansent kòz a	pregnant because of
17368	bad	tizann ban l voye	the tea made him send it
17369	medium	men konn gen yon moun yo konn voye al chèke pou voye	but sometimes there is someone they send to check to send
17370	good	yon fanm chay.	a burdened woman
17371	bad	Da koure m, doktè fèy la, elè li kapab kase yon fèy la, kason pil fèy li mete ansan li bagay.	Run after me, doctor of the leaf, if he can break a leaf, because a pile of leaves he puts together is a thing.
17372	bad	Lè konsa, pou l bagay remèt laba lè sa, sòdi l ap fè.	Then, for that thing to be returned over there at that time, what will he do?
17373	bad	Ak konprè mare tizanm, ak konpoze.	With compressed tied-up herbs, and composed.
17374	bad	Gide mhala doden tankou la lò w pral pran yo pral bò ou sòt de medsin yo chèch an sòti yo.	Guide mhala doden like gold; when you take them, they will be by you, sort of medicine, they dry out as they come out.
17375	bad	Yo te fèy bay, yo mete bay w pou bwè kou ba a mi dan w, kodo anvan yo ba w tou.	They gave you leaves, they put something for you to drink like the lower part of your teeth, the code before they gave you too.
17376	bad	Sa ki anrelye ti mi li bay sa l, mèsini, pou ki an tankou tèt anvan yo bò w meti.	What is tied to the little wall gives it to him, thank you, so that it is like the head before they put it there.
17377	bad	yo tankou la, yo di a, yo di an, an tè l twò ba ga.	they are like there, they say it, they say it, on the ground it is too low, guy.
17378	good	an, ki anrelye.	ah, what a relief.
17379	bad	Mwen yo tande yon lè yon lèm yon lèm	I heard them once, once, once
17380	good	yon lèm yon lèm	one time one time
17381	bad	yon lèm Ou di lè yon lòw bouy ba l a wap brè a	one time you say when a low boil gives it to you, you will drink it
17382	bad	a depi yo bouy fè yon ba wap brè sotouv tizann	and since they boil, make a bar, you will drink all the tea
17383	bad	yon fè yon fè yon fè yon lòv jan	one iron one iron one iron one love, man
17384	bad	tizann men li.	Here it is, but it’s ambiguous out of context: “tizann men li.” could mean “look at his/her hand.”
17385	medium	Yo mèt fè yon renmet fè y, triye moun ba a la, mwen.	They can do a rematch, sort out the people there for me.
17386	bad	Meseyè lè seyè te	Sir when the lord was
17387	bad	nèfè yon mèsin fè y	neither a machine does it
17388	bad	yo konn bò mèsin fè mè	they know how to do it by the table
17389	bad	bò elè yo pran pi l fè yo	near the students they took their stuff
17390	bad	yo pa konn yo rekonse li ba repi li li	they do not know they recognize him for his rest him him
17391	good	yo met loul ladan	they put loul in it
17392	good	ba anba anba anba.	down below below below.
17393	bad	lajman Se tou pou ka netwayan m te anpil voye an moun lajman	lajman It was also for the cleaning case that I had sent many people, lajman
17394	bad	li la konnè be lèd yon lòk pou menm ba a la	he is there to know a lock for even the bar there
17395	bad	fwon lòk pou moun.	forehead locked for people
17396	bad	takou moun ki konn ak kouche	like people who know and lie down
17397	bad	yo konn bagay yo pran ou se yon defè yo bouy yo	they know the things they took from you are a defeat they boil them
17398	bad	yo ka mete l sion yon bagay yo tou fe li	they can put it if it’s something they also do it
17399	good	yo di y ap ba l tèl bagay	they say they will give him such and such a thing
17400	bad	kisa ap ba li a?	What is it giving him?
17401	bad	tankou lè moun nan fin a kouche, anvan an bagay yo konseret fèy yo bon bandlo an, yo fèmen moun nan an ta.	like when the person has finished lying down, before the things are arranged, they close the person in a room.
17402	bad	Wa wè lèl lòt jen vè?	Will you see him next spring?
17403	bad	vè yon vè l te pral di l vè yon vè l pèp tou ouy	about a glass he was going to tell him about a glass the people too oh yes
17404	bad	vè pèp tou ouy	toward the people too, ouy
17405	bad	vè pèp tou Yo met Adap te balayen dèyè ou	toward the people too They put Adap to sweep behind you
17406	bad	yo lage tout lò annda	they put all the gold inside
17407	bad	vokou leve an pou bay ou jete tout dawa tout sa k te annda vat	the witch doctor rose up to cast out all the medicine, everything that was inside the bottle
17408	good	kòman wè rele sa?	What do you call that?
17409	bad	yy tankou lòf rapè piye ou	yy like a rapper looting you
17410	bad	pou wote akò	to agree on the height
17411	good	antòs pou fè piyòr bison	in order to make the worst bison
17412	bad	antòs che w fè rache moun nou wote antòs tabò	unless you make people tear us apart unless on the side
17413	bad	sa l fè sou pi anon	what he does on the anonymous one
17414	good	li pa lanwe	he is not sleepy
17415	bad	che moun te n pa lòbye moun men.	what kind of people were not lobbying people though
17416	bad	Opa, kòm te fè yon senk tounon ouwe, mwen fè yon senk pwovye a.	Oops, since it had been about five turns, I made a five-point attempt.
17417	good	tokou tèwou ye	like you are on the ground
17418	good	tokou tèwou tèwou	like a rumbling sound
17419	bad	sa l fè akijon ekiz a	what does he do with the accusation and excuse
17420	medium	fran sa lè di sa isi a	from this side when saying this here
17421	bad	kake n lòt jan anwonn an	in another way around
17422	bad	kòkipe l se yon	to take care of him is a
17423	good	se yon pi sa	it’s a well
17424	bad	li pa konn sa l ap fè se yon	he doesn’t know what he’s doing, he is a
17425	bad	ipòkò gen de estwo golespi se yon	there are not yet two estwo golespi it is a
17426	good	E lè l pi pitit toujou	And when he is even younger still
17427	good	takou lè l fèt fè a	like when it is made of iron
17428	bad	e joul fèt la men	and the Christmas party but
17429	bad	ki jan wè dè l takou lè l fèt	how to see it as soon as it is born
17430	good	joul fèt la.	the day of the celebration.
17431	good	Kouman rele rad yo kond met sou ti moun fèt fè a a?	What do you call the clothes they put on the baby when it is born?
17432	medium	Sou w ap di pran l pou ou	So you’re saying take it for yourself
17433	medium	pran ki sa w ap pran li bon an	take whatever you’re taking, the good one
17434	good	e pran ti tèt ba la l	and bow your head to him
17435	good	te itin bon	it was very good
17436	bad	pran ti te itin.	take a little tea now
17437	bad	Lè timoun nan prèman mann avè	When the child is almost hungry and with
17438	bad	l ap tite	he is titling
17439	medium	gede fwa timoun nan lè l tanmen bagay	sometimes the child when he starts things
17440	bad	li bezwen li kapab soliton lè rale	it needs to be able to solve when pulled
17441	bad	m t ap dim wò	I was telling you.
17442	bad	li mache yo ak wè l kenbe barè li mache an	he walks them and sees him holding his barrier he walks in
17443	bad	lè fwa timoun nan gede timoun nou pa k ap metan yen la	when the child’s liver is swollen, we are not putting anything there
17444	bad	la pwole ale yo lage tounen yo.	they spoke, they let them go back.
17445	bad	Nan l fè zan, donk lò pale de gen de ou kapab fanm bann ti moun, anpi yo respekte moun ba jwit.	At that age, so when talking about having children, and they respect people who play games.
17446	bad	Sa ou ka gen yon la, ou ka gen yon ladan yo, m aleve.	You may have one there, you may have one in them, I’m getting up.
17447	bad	lè konsa yo pa konn de l se yon move granm, m ove timon.	when that happens they don’t know about him, he’s a bad old man, a bad boy
17448	bad	Ey, yo konn di, parizal, an, se granmoun ti moun na ki tè l bagale kè sa a?	Hey, they say, parizal, uh, is it the grown-up child who is the one who’s talking about this?
17449	bad	Si sèl m ale m te bwè konsa, te ou le wote l.	If only I had gone and drunk like that, you would have wanted to stop it.
17450	bad	Ye wakande lòt jou anpil	The other day was very hot.
17451	bad	ou konn di mwen menm	you know, tell me myself
17452	bad	se papa m ki te ou ladè	It was my father who was there with you.
17453	bad	m te ou le wote l	I wanted to tell him.
17454	good	papa m ni m aleve m.	my father raised me.
17455	medium	Nan anti ladyen, èske wè anti se granmoun yo cleve yo an sa?	In the old days, did they see that the elders were the ones who raised them in that?
17456	good	kote lwizirè l konnen nan plat li l ye	where the lizard knows it is in its dish
17457	medium	anviye moun nan maye di nou sere de bagay	the person wanted to tell us to keep two things aside
17458	good	antre nan santiman	enter into feelings
17459	bad	se ale l al fè wout lelè konsa fè a pri an.	it’s going to go make the road when it’s like that, do it at the price.
17460	medium	Sa w di yo fè l lan, ki jan konn li sa, malkonèt, oswon nan anan, malkonèt.	What you say they did to him, how does he know that, fool, or something like that, fool.
17461	bad	Pakou la moun an te konpran m zonbo a li pa l fè	Because people there understood me, the zombie didn’t do it.
17462	good	pa konn di sa?	Don’t you know how to say that?
17463	bad	E lòpon ti mon nou wou, li fanm anba eki malo wou tayen, wou bas li, ou wou bas li.	And when we see the little mountain, it is a woman underneath, and you tie it, you lower it, you lower it.
17464	bad	Apre sa e pa kòm di lòd ya ankò, wou tayen, li ja kòm di ankò.	After that, and not as if the order anymore, you tighten it, it’s already as if again.
17465	bad	M, mou fouye te li, ki an, kounm di ankò?	I, I dug up his land, what, how do you say it again?
17466	bad	Lè l metaje nou ou chita l la, ou la, ou la an kò l la, sò a fò l la.	When he puts us together and you sit there, you are there, you are there in his body there, the fate is strong there.
17467	bad	M ap bat li, toujou nan ta yo.	I’m beating him, always in their time.
17468	bad	Travè lòt mò, kounm di ankò?	Across the other dead, how do you say it again?
17469	bad	Yo kane doube	They can bend over.
17470	bad	ki zanne li?	What is it?
17471	bad	a, te gwa l Soutiy epari gwa zizonm pa yo pran konsò l anon frè t Seopay, mh, seopay rele lòd ki anvò?	a, he was wearing his support and the zizonm gwa did not take their agreement, then brother t Seopay, mh, Seopay called the order that is before?
17472	medium	E si pa ekzab, on moun lòt bò a konsan, a pou w ap di Entèl!	And if it’s not an exaggeration, someone on the other side knows, so you’ll be saying “So-and-so”!
17473	bad	ap reyle l E si yon ti moun n ap vin nou la a	he is calling him And if a little person is coming to us here
17474	bad	moun touche ta la an pi l ap dè n monte soun nan la ou de	people touched there and then he was going up on it or two
17475	bad	Gidefò kounm tè nou tèl bagay mwen yon te dezò.	Gidefò now our land such a thing I was upset.
17476	bad	Kòt ploje an ti mon, lòt konn di lòd ye anpke.	The coast is folded into a small mountain, others say it is order because.
17477	bad	takou misyè ske sonti moun mizyè l nan kichan mizyè sa	like the gentleman who came out of the miserable people in this miserable house
17478	bad	m takou misyè ske mizyè pa vèn	I’m like, sir, are you not coming?
17479	bad	jan tali an	as such
17480	good	moun Dè l pa fin granmoun	the person from there is not fully grown up
17481	good	li pa yèn yon zòdi	he is not a zodiac sign
17482	bad	E yon moun li pa fèt ti ti pa marye bach sa yo pi yon reze moun sa Mese	And a person who is not born to marry these little bach things more than a bunch of people, sir
17483	bad	li pa pou l pa marye lòsè pitit	he should not not marry him when he has children
17484	bad	an pèsona te vo.	a person was worth
17485	good	Li rete konsa, li menn pa okipe, li pa nan marye l pa bagal li, pa gen pitit.	He stays like that, he himself doesn’t care, he’s not married, it’s not his concern, he has no children.
17486	good	E defa alèk moun nan granmoun	And now the person is an adult
17487	medium	granmoun figi figi l konn fè konsa	An adult with a wrinkled face often looks like that
17488	good	ou konn di granmoun	you know how to talk to adults
17489	bad	ou granmoun figi moun nan fè min.	you old man, the person’s face is making a fist.
17490	bad	E yon yon yon gason k ap monte deven nan zòn ventank pokò marye bay sa yo, li yon rele sa.	And a young man who is going down in the area of Ventank, not yet married, gives those things, that’s what they call it.
17491	bad	Yo pa konn di yon bwayitou, voye, yon jenn bway.	They don’t usually say a boy, send, a young boy.
17492	bad	fè yon moun ti nan 4 rezen	make someone small in 4 grapes
17493	good	moun gran moun	adult person
17494	bad	tankou l pòkòl li pa kalman y anen lakay li rive a E sou bezwen konnou	as if he were not calm he went home and arrived at E on the need to know
17495	bad	Odera ap refonnone twòk esyon mwen anven	Odera is redoing my question too much.
17496	bad	wii Ele yon moun pa ekzanp tankou yon moun yen twòk kanpe dèyè debou tonm sa yon sòw ap jwon anj vwèl.	Yes, choose someone, for example, like someone who is standing behind the tombstone, that a sister is going to see in the veil.
17497	bad	Kèk ou la, ou de k anpè dè dola ankò?	How much do you have there, two dollars again?
17498	bad	M ap se li kanp ou wè pè di a?	I’m going to tie it up, can’t you see the fear there?
17499	bad	Yon kondye an, ou met tè l bagay sou mwen ou fè m bapa genyen la?	A driver, you put things on me and you make me not have any there?
17500	bad	ou li, li sa yo kabit mit sou a.	you read it, it’s those myths up there.
17501	bad	Kèk ou re bagay?	What are you doing?
17502	bad	li a M pa la entè l entèl men ton baray sounman naten an fè m pa sa ak douvan m bay sa l	He is there. I’m not there between him and them, but the tone of the barrier, the morning sound, makes me unable to do it, and before me I give him that.
17503	bad	li di vi wanga.	he said life is magic.
17504	medium	Alè, wi men, li dwa pa met wanga, m kòm si chans ou pa la avan.	Well, yes, but he shouldn’t put on a charm, as if your luck wasn’t there before.
17505	medium	Ou wouy chansyou pral avèm	You lucky one will go with me
17506	bad	e sa kòr k ap ou mwen m ap fèm Bèdi a	and what body am I going to do Bèdi with
17507	bad	ou pa konn li entèl met oum bini anjan men	you don’t know how to read it, that guy put me in trouble though
17508	bad	ou pa konn li lòb ja anvan.	You don’t know how to read it already.
17509	bad	ou ve l Mwen te fwa li zi pa pran kòt menm la ale kanmen m	you want him I was once there don’t take the coast even there go anyway me
17510	medium	fè yon sòdi Sentèl menm tou.	make a Sentèl outing too.
17511	bad	moun pou konn de timoun an timoun sa nou jou yon granmoun twòp granmoun ap tè l bagay nou	people to know two children as children that we are one day too many adults are on the ground our things
17512	bad	nou pap yon m grand m	we won’t be a big m m
17513	bad	vi granmoun ap tita m	you old people are teasing me
17514	good	ap tiye nou	is killing us
17515	bad	gede pa l pati ye timoun an	where is the child?
17516	bad	li fwa li	he times it
17517	bad	li pap grand di ankò yandye konsa pou l rete	he won’t grow up anymore like that yesterday so he can stay
17518	bad	de granmoun nan anpil cha pa	of the adults in many carts not
17519	bad	Li fè yon bond li tout fè pou lèk ou lèk lèm nan li, ou bon bon wò, ou wò, ou kifè, kifè m ap?	He made a bond, he did everything for the time when he was in it, you good good, you, you did, did I do?
17520	good	Wi, kisa l fè d la?	Yes, what is he doing there?
17521	bad	Li, li reglè l ou noch chanch.	He, he fixed it for you, you naughty child.
17522	good	Men, li ba l kisa?	But, what did he give him?
17523	bad	èske wò, li li m adichon nou?	Did he read my adichon for us?
17524	bad	Wi, li m adichon nou?	Yes, did he tell us?
17525	medium	Si chita sò w fè la	If sitting is what you’re doing there
17526	medium	sou pral vedou pran repo sòrd	I’m going to take a break, soldier.
17527	good	ou dwa pran de tant	you may take two tents
17528	bad	Rakand li lòt janm yo?	Did he break his other leg?
